tau_T,eta_kTe_10,eta_kTe_11p0146,eta_kTe_12p1321,eta_kTe_13p3631,eta_kTe_14p7189,eta_kTe_16p2123,eta_kTe_17p8572,eta_kTe_19p6689,eta_kTe_21p6646,eta_kTe_23p8626,eta_kTe_26p2837,eta_kTe_28p9505,eta_kTe_31p8878,eta_kTe_35p1231,eta_kTe_38p6867,eta_kTe_42p6119,eta_kTe_46p9353,eta_kTe_51p6973,eta_kTe_56p9425,eta_kTe_62p7199,eta_kTe_69p0835,eta_kTe_76p0927,eta_kTe_83p813,eta_kTe_92p3167,eta_kTe_101p683,eta_kTe_112,eta_kTe_123p363,eta_kTe_135p88,eta_kTe_149p666,eta_kTe_164p851,eta_kTe_181p577,eta_kTe_200
1.272872668693002,0.5724533966879871,0.5738426539221407,0.5749069613097523,0.5756220090587485,0.5759503342861555,0.5758409349297612,0.5752280923397002,0.5740315888486035,0.572160539523615,0.5695215689586169,0.5660349339549595,0.561659866322892,0.5564288862080256,0.5504819735790981,0.5440772547817903,0.5375719514220316,0.5313420996858864,0.5257150627602124,0.5208876632597975,0.5169365210241459,0.5138168035468728,0.5114364431856379,0.5096632194064862,0.508381349449852,0.5074865262926214,0.5068986734019834,0.5065443761639056,0.506378926011492,0.5063657382359065,0.5064776906176613,0.5066947122839451,0.507002032599683
1.535211258634673,0.587107484976191,0.5875525007402203,0.5875555504509888,0.5870700579287176,0.5860330158255669,0.5843656898312394,0.5819756570638539,0.5787642931714216,0.5746437457491846,0.5695641348378696,0.5635528188783644,0.5567531616734923,0.5494439928055322,0.5420161417359249,0.5348983974093182,0.5284569123919457,0.5229365286904475,0.5184178675082126,0.5148595644535732,0.5121404225986195,0.5101258242915254,0.5086664945438204,0.5076501679220564,0.5069713642434921,0.5065648327618004,0.5063657749704477,0.5063384012338293,0.506452703639919,0.5066925882519659,0.5070290618204716,0.5074551379038124,0.50796042601824
1.851617735699141,0.6014230484291456,0.600465643651508,0.5988768242491204,0.596577727673088,0.593473938988388,0.5894643800427382,0.5844582770913298,0.5784053694442814,0.5713414678618808,0.5634302268780808,0.5549925074791477,0.5464686992672179,0.5383458131921907,0.5310389589984289,0.5248079186306674,0.5197401811844831,0.5157661091746254,0.5127485611788631,0.5105125826042227,0.5089051965666933,0.5077834283613427,0.5070381237518471,0.5065820108841531,0.5063634829123712,0.5063349517865716,0.5064584222211894,0.5067169157340355,0.5070997470320613,0.5075804982077201,0.5081548934315367,0.5088131920515097,0.5095579201603775
2.2332354715824,0.613023163257493,0.6099011774339341,0.6058505485224113,0.6007696724171306,0.5945724988280814,0.5872259301604503,0.578798628328401,0.5695098362965644,0.5597488156462426,0.5500337632804666,0.540902558803021,0.5328033828709547,0.5259840943678392,0.520489986900892,0.516232800559653,0.5130220866615249,0.5106638829967461,0.5089788146409849,0.5078047576498855,0.5070287066790479,0.5065629110570408,0.5063441187122729,0.5063276594909454,0.5064823874184631,0.5067793150891563,0.5072159969604908,0.5077665934548988,0.5084367174822522,0.5092006562193121,0.5100696924906609,0.5110111925901197,0.5120268058628449
2.69350448279797,0.6173264339263286,0.6108152780375917,0.6030400600351866,0.5940182733480491,0.5839026588110865,0.573022082372415,0.5618865290610897,0.5510944132367731,0.5412244954731003,0.5326740353624455,0.5256281855083997,0.5200657481749584,0.5158092874462656,0.5126420506643942,0.5103334933550414,0.508699138377759,0.5075769052627863,0.5068437590309959,0.506424121882314,0.5062474973393659,0.5062831516248413,0.5064913196359671,0.506858970431562,0.5073734564860004,0.508025990794321,0.5088098775434226,0.5097059897792385,0.5107307922527435,0.5118666391928711,0.5130831870500997,0.514385466812539,0.515780215653787
3.248634768331045,0.605898182253417,0.5948008633672959,0.5827966594479509,0.5704150748395933,0.558304030597515,0.5471142083850494,0.5373196164628058,0.529170651085912,0.5226759248260766,0.5176765350076517,0.51393222508692,0.5111899296436775,0.5092176890203072,0.5078438526724995,0.5069173489987822,0.5063419754630868,0.5060459189851048,0.5059803071863759,0.5061130722580416,0.5064241192305384,0.5069016650299614,0.5075295530191214,0.5083112326167877,0.50925501704165,0.5103361510335958,0.5115609352975417,0.5129232226934947,0.5144145211963013,0.5159988027775763,0.5177056956991711,0.5194990396178688,0.5213212961579716
3.918177202009464,0.5687911124524816,0.5561935242543647,0.5448478324777022,0.5351574656389758,0.5272565193714471,0.5210480479906902,0.5163248947634946,0.5128021284263006,0.5102271793650285,0.5083783793884936,0.5070756406861365,0.5061991712611419,0.5056447638479064,0.5053526517063601,0.5052796859935897,0.5053989838618542,0.5056955051043058,0.5061551277488132,0.5067903207920863,0.5075871263976407,0.5085564448442099,0.5097018955065438,0.5110100988275434,0.5125099628128342,0.51416479688451,0.5160065801149719,0.5179782021746442,0.5200855556584583,0.5223085404070188,0.5246236818218794,0.526958520555792,0.5293674684576813
4.725712085582868,0.5210152148138074,0.5160870402340992,0.5123982947032049,0.5096761103490609,0.5076982112915011,0.5062679372737028,0.5052522049715577,0.5045508789547165,0.5040901504622493,0.5038274721924002,0.5037331540887411,0.5037906521592739,0.5039884781674717,0.504336594678956,0.5048307225024876,0.5054780481489565,0.5063053926432246,0.5073093371802814,0.5085110645366819,0.5099073202241265,0.511535349406781,0.5133674423468234,0.515419157140738,0.5176851854963468,0.520154667913756,0.5228114228351612,0.5255880420458983,0.5285398998066154,0.5315376938076032,0.534590484419165,0.5376586708441827,0.540702373800019
5.699679612338785,0.5017118753047869,0.5015035963615424,0.501362108065971,0.5012756272858584,0.5012380097773148,0.5012492541591115,0.5013099851892936,0.5014280641136509,0.5016136075797357,0.5018747866464254,0.5022363867306936,0.5027083633845217,0.5033251943019352,0.5041030956458594,0.5050652608587819,0.5062444293503935,0.5076670551273894,0.5093407183305699,0.5112956088463669,0.5135459361660253,0.5160690628224706,0.5188841193043499,0.5219808831887698,0.5252929710960024,0.5288809702310718,0.53260670734427,0.536475733854764,0.5403626316338643,0.544360361563781,0.5482580994501816,0.552176744410501,0.5558728584527116
6.874381488965292,0.5000051428704098,0.5000108218641252,0.5000210465087798,0.5000388733587408,0.5000694057884268,0.5001202404266898,0.5002025012478184,0.5003326421930299,0.5005309154669706,0.5008279239971438,0.5012545469917397,0.5018505471600032,0.5026629410014497,0.5037392458165693,0.5051151280207835,0.5068519448743085,0.5089567838916333,0.5114863495246809,0.5144345852849969,0.5178315661901911,0.5216285373460792,0.5257824013833206,0.5302976013785548,0.5351275243270466,0.5401287829507823,0.5453003574140391,0.5504648349196624,0.5557452552170224,0.5608485575914801,0.5658094305202327,0.5704193409268121,0.5748922192627185
8.291188991311971,,,,,,,,,,,,,0.5001337058266118,0.5009289197302124,0.5022392137014846,0.504162710043299,0.5067766298569745,0.5101224588343983,0.5142394232252842,0.5190523162561586,0.5246000713976661,0.5306556519468029,0.5371989943753001,0.54419209479935,0.5512859805945551,0.5585399872152796,0.5656838382063223,0.5725613525863535,0.5792025096264799,0.5855121591313173,0.5912268707500107,0.5964532920949446
10,,,,,,,,,,,,,,,,,,,,0.5022270934454186,0.5105057357198104,0.5200075961805481,0.5303844012794471,0.5413297365687645,0.5524786151619828,0.5636263939407135,0.574339745129452,0.5846214798034516,0.5940429738334434,0.6028228136103569,0.6106407285516928,0.6174095784730294
