tau_T,A_model_kTe_10,A_model_kTe_11p0146,A_model_kTe_12p1321,A_model_kTe_13p3631,A_model_kTe_14p7189,A_model_kTe_16p2123,A_model_kTe_17p8572,A_model_kTe_19p6689,A_model_kTe_21p6646,A_model_kTe_23p8626,A_model_kTe_26p2837,A_model_kTe_28p9505,A_model_kTe_31p8878,A_model_kTe_35p1231,A_model_kTe_38p6867,A_model_kTe_42p6119,A_model_kTe_46p9353,A_model_kTe_51p6973,A_model_kTe_56p9425,A_model_kTe_62p7199,A_model_kTe_69p0835,A_model_kTe_76p0927,A_model_kTe_83p813,A_model_kTe_92p3167,A_model_kTe_101p683,A_model_kTe_112,A_model_kTe_123p363,A_model_kTe_135p88,A_model_kTe_149p666,A_model_kTe_164p851,A_model_kTe_181p577,A_model_kTe_200
1.272872668693002,1.059563656847044,1.092458217162618,1.130908733994854,1.176229565195644,1.230172602210056,1.295111437155693,1.374319984850483,1.472398597522875,1.595934470996664,1.754532405182943,1.962407329888071,2.24086734460078,2.622094728292888,3.154875268313905,3.913264521593423,5.008455767265948,6.607592891705695,8.955779653732549,12.4134489663346,17.49036206662965,24.9154653309802,35.67126623175776,51.12482203050723,73.04850011614693,103.7449778493938,146.038979659257,203.6662653728305,280.9108967643838,382.9071092081724,515.5899082001484,685.673040035299,900.5919560645473
1.535211258634673,1.166111396912132,1.210453554466806,1.263109030519558,1.326328472504629,1.403216865662161,1.498137197640135,1.617335424108528,1.769906852302564,1.969296828207146,2.235648923116572,2.599360992751098,3.106507660527204,3.826873459886294,4.865682617429121,6.380265651656577,8.604413020962971,11.87588753283819,16.68188205962151,23.70786759275714,33.91465971587622,48.56843671228901,69.41375399182807,98.61140130788712,139.0735820628335,194.1444030228594,268.3207707861397,366.5803306123971,494.8338119671341,659.2055740801767,868.2445975289214,1129.685120572802,1452.320314772348
1.851617735699141,1.293983461560855,1.356760482595855,1.433047942228292,1.527137995758181,1.645186322053716,1.796172293155509,1.993397759339206,2.256809486402092,2.616497621823821,3.118164095532819,3.830798640513191,4.858777230388401,6.357588176001072,8.556847290972767,11.79061228268876,16.53292435566691,23.46140775142774,33.50064301550108,47.92636777338839,68.37061473414397,97.00294136566212,136.5594976137562,190.5759528143446,262.987757282734,358.7745937001358,484.1392939248868,645.4560253245769,849.3717092790679,1105.43423488397,1421.763441865486,1807.638081661756,2269.969849717328
2.2332354715824,1.468860963366217,1.565265324915201,1.686509568834739,1.841985452117348,2.045649785529859,2.31846241987961,2.692131129977253,3.21472489401462,3.958953175970492,5.03407966401437,6.60335733579499,8.904583401698499,12.2829350148109,17.23295775145578,24.43151878703775,34.82975190451545,49.68378161185031,70.61596771920213,99.82031481377581,139.9710232507723,194.4041366641499,267.1578167238476,363.0176609266718,487.5333963688881,647.7052551745455,849.5174507906055,1102.311613424524,1412.499665075376,1791.662982444313,2245.358671070509,2788.030396541237,3427.09599315118
2.69350448279797,1.759340034305946,1.929670762560652,2.154601511393857,2.458262255342495,2.877134255818986,3.466530095749211,4.309489159998356,5.530818350920764,7.313352338103725,9.925806778209139,13.7501051654241,19.31673738927003,27.37145687617077,38.90423772223591,55.25662439046177,78.08430862608257,109.5578473097317,152.4648356486356,209.8970262592931,286.0668296066041,385.1350999662531,513.0402240073702,675.5431072617999,879.3284292881218,1131.669859456877,1440.330820798286,1815.897545339474,2262.878690452454,2791.4673139914,3415.720344044922,4141.11625087365,4970.165078522339
3.248634768331045,2.398566362313512,2.781708461595874,3.317136658032863,4.077821454235162,5.172842303674501,6.761635017877823,9.078342911646827,12.45514269293544,17.35785749012884,24.42522288658321,34.51408942648404,48.74859832928965,68.61481470650442,95.86591149365502,132.8686335597652,182.3236352000435,247.497054142717,332.2047461030107,440.8272064014701,578.2997867364637,750.0756066531263,963.3249849205439,1223.955820004825,1537.105016056488,1913.497493027058,2359.178697869407,2881.885461918793,3489.378783105963,4195.846763488775,4998.007350845841,5907.943431722902,6945.292049731062
3.918177202009464,4.557245634732477,5.825871602179302,7.659230362886916,10.31137803849493,14.13745001581822,19.63143442204171,27.4375153509764,38.43727561828782,53.73290056931502,74.71499583478108,103.1647461482866,141.0087324060701,190.8655616328464,255.480364594573,338.066726283575,442.2250416041956,571.924998587502,732.3658705180827,926.740509468313,1162.171076905112,1443.180000877976,1775.407049600344,2167.804395241552,2620.947799440229,3147.920002191838,3746.578926289463,4433.853453491582,5211.551654918519,6086.368745265295,7064.928897959375,8167.738455051152,9377.108946275042
4.725712085582868,19.02704849857903,26.306271125772,36.42111487108021,50.30418905860506,69.02145106895186,93.99289584689038,126.7653738445084,169.1402334941228,223.3484155667386,291.5334759180554,376.1229624034916,479.6852326437908,605.6373005545498,755.5135154348517,933.9962133341882,1145.084403945154,1389.175180377436,1673.386132121947,1999.743490147927,2375.719967705813,2798.683341189198,3280.837502871828,3823.025347883421,4429.959857500347,5106.45645422704,5857.344014773999,6699.489778827585,7616.719674826683,8640.442454911094,9765.062460972158,10997.4115482203,12344.42253563209
5.699679612338785,335.923115485575,419.7209411120745,517.2546564471867,629.5376103823559,757.5729211618947,901.1735232638424,1062.194689983507,1239.969116889235,1434.728466579625,1651.817026848421,1885.057739024881,2143.980136672019,2420.269085159553,2722.315801157815,3053.129944357383,3410.237633988051,3795.48055107924,4218.497046276945,4675.847479492069,5170.270607142682,5715.562796393931,6306.670858271761,6947.559278372483,7656.876275104149,8412.064289878281,9248.707151326596,10157.95510391134,11167.42141073967,12243.76542748918,13437.97847985608,14709.44995335276,16120.40470741377
6.874381488965292,270391.4549037708,158812.481967682,103715.7922656315,73098.55168372537,54393.87770648568,42352.85158666019,34257.04579994207,28542.17228482992,24481.45297651308,21419.06469349991,19166.27284481713,17472.94509687947,16170.8672650885,15175.7833506434,14458.89587532479,13912.1657950418,13566.8244022432,13340.86275239207,13248.5917935764,13250.94565811804,13369.62307439563,13601.20926607176,13915.16583343207,14311.20109991801,14822.07651038811,15420.31807546372,16143.15354622237,16929.97533847965,17854.49955566039,18889.45360418027,20082.56656940676,21363.74921370293
8.291188991311971,,,,,,,,,,,,,3163637.953878461,520052.2511103512,244882.8680359854,148705.7239766448,102618.0507371866,76843.4343367343,60869.38723805733,50522.03082239468,43325.00563327053,38394.36336841028,34860.48999086098,32262.27529649511,30506.31323224926,29276.9248324616,28536.40694683144,28206.90337802526,28175.06865722459,28409.4485090093,28946.06919933854,29711.99691927078
10,,,,,,,,,,,,,,,,,,,,2468472.661502335,496760.1012103054,250623.7275067264,160311.019341534,115628.7988763427,90153.51338961397,74219.93883875897,63876.80703677582,56804.04743256349,52048.57558462379,48730.79671372195,46572.89465289366,45313.1173741434
