model,f_corona,g_feedback,d_ratio,theta,kTe_keV,tau_T,l_diss_local,fixed_xi,effective_albedo,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_h_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,returning_reflection_over_l_diss,downward_flux_model,reflected_flux_model_hemisphere,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,last_scatter_order,last_difmax,converged,max_scatter,hemisphere_mu_order,exact_angles,root_method,root_iterations
compPSc-fg,0.3,0.1,2.3333333333333335,0.106091312840393,54.212660861440824,0.2827336384935099,1377297.16019219,100.0,0.0007696546857427344,0.5559593922157188,0.38312539947545987,0.7917106332167724,0.7928336514391452,2.4408386215469617,1.9351789968947677,2.3333333333333335,0.10750528821362812,8.280568059581873e-05,3.496236913497743e-12,2.690895122940253e-15,1.672794378943543e+20,3.173203060740812e+32,-0.0014174654773352413,21,0.0015153996322617423,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.12129039646935975,61.97939259584283,0.23808830927687402,266218.6947139213,100.0,0.0011662749277156614,0.5590839790788719,0.33778253153635984,0.7479312719543284,0.7484577571851452,2.43511193216235,1.822578415241018,2.3333333333333335,0.10177859882901669,0.00011884042860459324,3.321467780145692e-12,3.873744595199316e-15,3.1251582291658927e+21,2.2148744350214502e+32,-0.0007036743016539341,19,0.0015594022232075185,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.13866696416347205,70.85881868753421,0.19928217919419086,59236.94364122501,100.0,0.001759836419621333,0.562822895131025,0.29493702027260293,0.7055179255762236,0.7065171912308048,2.4297821413580483,1.7166828538150583,2.3333333333333335,0.09644880802471495,0.00017003335588319332,3.1540684409417346e-12,5.550644512347542e-15,4.337269161113497e+22,1.5219544679120153e+32,-0.0014153554816031962,17,0.0019830196672397586,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.15853297136489386,81.01034836746076,0.16617626537304037,14773.944626549257,100.0,0.0026410388203033644,0.5670227944861289,0.2555483152739282,0.6668089556507634,0.6679561873585246,2.4249342800492886,1.6197498562967116,2.3333333333333335,0.09160094671595499,0.0002425622726317385,3.003262176265845e-12,7.931731995066863e-15,4.735820522449295e+23,1.0336848925625815e+32,-0.0017190020225991574,16,0.001078425293317924,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.17823700160037928,91.07910781779381,0.14137421558578017,4779.645519191326,100.0,0.0037312183797141665,0.570957023772666,0.22412918341204868,0.6364841054979973,0.637197260052872,2.421086783049144,1.5427098645091366,2.3333333333333335,0.08775344971581037,0.00032865356267657193,2.8865712858346465e-12,1.0770427836061388e-14,3.1956053697361797e+24,7.300364074721378e+31,-0.0011198320846790256,14,0.0026462501332317583,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.20377197727907612,104.1274803896079,0.1168432274062933,1452.1762513404542,100.0,0.005422632977546471,0.5756906841141387,0.19125827986517618,0.6039520417430354,0.6050194600788114,2.417064143463722,1.4623708430542754,2.3333333333333335,0.08373081013038856,0.0004565169762600044,2.761741080105381e-12,1.497590825642425e-14,2.2876078567089436e+25,4.824143741028589e+31,-0.001765829238376337,13,0.001947688529277989,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.23296519999434234,119.04521719710894,0.09615266260121506,482.6276405311618,100.0,0.00769256821641405,0.5805289082184204,0.16198494033098354,0.5751177526195577,0.5763684361266725,2.413466357604598,1.3910458301768989,2.3333333333333335,0.08013302427126456,0.0006212074361735743,2.6519902856318825e-12,2.0400616181490638e-14,1.348506251711808e+26,3.1410680524493278e+31,-0.002172295267030562,12,0.0016193224488291983,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.26634076546293006,136.10013115155726,0.07892626425016727,172.82596925585892,100.0,0.010632680496195776,0.5853116039637262,0.13640029621671235,0.5510767832879707,0.5513354477076832,2.410287009441741,1.328876667454575,2.3333333333333335,0.07695367610840739,0.0008270172613734528,2.562067417127026e-12,2.7241644256025217e-14,6.766286129679945e+26,2.0210095303733256e+31,-0.00046926987416607527,11,0.0015801074994899308,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.29944420413843864,153.01598831474215,0.06596503181356707,75.57219658819052,100.0,0.01372446000382494,0.5895190457509726,0.11634046695422096,0.5307003883960317,0.5317125447540466,2.4077701931469,1.2802416165810804,2.3333333333333335,0.0744368598135667,0.0010358218001894097,2.485069564753812e-12,3.4106237848186345e-14,2.3596063629345003e+27,1.3476082154265701e+31,-0.001905392211736138,10,0.002211136694250761,True,4000,8,True,input_equilibrium_curve,0
compPSc-fg,0.3,0.1,2.3333333333333335,0.3423438288019262,174.9376965177843,0.053583736383344245,31.060717597760082,100.0,0.017871074667026195,0.5941482374148077,0.09645733431753922,0.5111659309378003,0.51227015382946,2.4052317448902967,1.232128435950453,2.3333333333333335,0.0718984115569634,0.00130828229189915,2.41239276933764e-12,4.311205130702707e-14,8.674174993811933e+27,8.368568001725047e+30,-0.002157874510332756,10,0.0004384607515103591,True,4000,8,True,input_equilibrium_curve,0
