tau_T,effective_albedo_ireflect_xi100_kTe_10,effective_albedo_ireflect_xi100_kTe_11p0146,effective_albedo_ireflect_xi100_kTe_12p1321,effective_albedo_ireflect_xi100_kTe_13p3631,effective_albedo_ireflect_xi100_kTe_14p7189,effective_albedo_ireflect_xi100_kTe_16p2123,effective_albedo_ireflect_xi100_kTe_17p8572,effective_albedo_ireflect_xi100_kTe_19p6689,effective_albedo_ireflect_xi100_kTe_21p6646,effective_albedo_ireflect_xi100_kTe_23p8626,effective_albedo_ireflect_xi100_kTe_26p2837,effective_albedo_ireflect_xi100_kTe_28p9505,effective_albedo_ireflect_xi100_kTe_31p8878,effective_albedo_ireflect_xi100_kTe_35p1231,effective_albedo_ireflect_xi100_kTe_38p6867,effective_albedo_ireflect_xi100_kTe_42p6119,effective_albedo_ireflect_xi100_kTe_46p9353,effective_albedo_ireflect_xi100_kTe_51p6973,effective_albedo_ireflect_xi100_kTe_56p9425,effective_albedo_ireflect_xi100_kTe_62p7199,effective_albedo_ireflect_xi100_kTe_69p0835,effective_albedo_ireflect_xi100_kTe_76p0927,effective_albedo_ireflect_xi100_kTe_83p813,effective_albedo_ireflect_xi100_kTe_92p3167,effective_albedo_ireflect_xi100_kTe_101p683,effective_albedo_ireflect_xi100_kTe_112,effective_albedo_ireflect_xi100_kTe_123p363,effective_albedo_ireflect_xi100_kTe_135p88,effective_albedo_ireflect_xi100_kTe_149p666,effective_albedo_ireflect_xi100_kTe_164p851,effective_albedo_ireflect_xi100_kTe_181p577,effective_albedo_ireflect_xi100_kTe_200
1.272872668693002,2.524891096213502e-06,4.637823410872327e-06,8.72619936045021e-06,1.686628376973312e-05,3.356790791127128e-05,6.873711901877146e-05,0.0001439154977507434,0.0003045851973604776,0.0006422937053142564,0.001330091369491781,0.002668390684789909,0.00512956631333569,0.009364647034834812,0.01612652296698165,0.02608663325352957,0.03953192244072621,0.05618451052744822,0.07507524435147772,0.094846870337088,0.1139779575745609,0.1312444015915792,0.145726287562117,0.1570202621239541,0.1650097740334056,0.1698569976047944,0.1719038402661767,0.1715275660764357,0.169165203874078,0.165211250138248,0.1600448606729256,0.1539935271825712,0.1473389165335776
1.535211258634673,6.157221161066068e-06,1.18865557785163e-05,2.364231724259366e-05,4.848831542560558e-05,0.000102096193852373,0.0002184381822088029,0.000468273644178003,0.0009903057482491589,0.002036053334427569,0.004021905957352728,0.007555380593144215,0.01339366785682071,0.02228537112545987,0.03470600185760937,0.05058441991417694,0.06920658644863498,0.08925579827355473,0.1092467610154451,0.1278129141497456,0.1439511673753409,0.1569924973478768,0.1667554493306631,0.1732615766001665,0.1767834081971348,0.1776787382214668,0.1763352774722825,0.1731622880134763,0.1685609592856605,0.1628956836787954,0.156415251095161,0.1494125844446724,0.1421077448690394
1.851617735699141,1.794322801223022e-05,3.699384613745699e-05,7.849545802535087e-05,0.0001698314657757,0.0003694813540482002,0.0007952102635494828,0.001667868161755657,0.003365792648754094,0.006461426438357407,0.01170901202655055,0.01989488646717547,0.03161578122935665,0.04695144973460975,0.06531789335722785,0.08554099419352118,0.1061087590365785,0.1256701853529785,0.1430582686310724,0.1575811878451543,0.1688312199013021,0.1768085689057425,0.1816914404837559,0.1837875372877406,0.1834614351093582,0.1811246552938731,0.1771306260937056,0.1718563431779809,0.165662658705707,0.1587555151953867,0.1514130816292579,0.143830371552827,0.1362210050333229
2.2332354715824,6.659116205999162e-05,0.0001460771063333556,0.0003225608398134594,0.0007049686966135351,0.001501731998339049,0.003075237521218584,0.005987120120687781,0.01098677289880452,0.01888826080320313,0.0303217779833666,0.04546003834646493,0.06376327384213942,0.08413718560392981,0.1051852837069391,0.125409784894723,0.1437367946952386,0.1593244048350712,0.1717352246760365,0.1809262742727342,0.1869793017319503,0.1901433711591962,0.1907561355376151,0.1892036162010381,0.1858491955695404,0.181035120194651,0.175133121071227,0.1683743112501165,0.1610939234696691,0.1534251999399142,0.1456261424930745,0.1377601522981482,0.1299871913329108
2.69350448279797,0.0003232588671228901,0.0007159911609791198,0.001540397579387117,0.00317471143270743,0.006199466852338062,0.01138249351007007,0.019524498341743,0.03124503485209999,0.04663085020209411,0.06519559958030129,0.08583149058120641,0.1071094098749994,0.1277466165090387,0.1465778777972124,0.1628718196581352,0.1760928762658904,0.1861267241445979,0.1930781306510117,0.1970924085036653,0.1985044965704245,0.1976436797539733,0.1948709062104531,0.1905210726341583,0.1849308060638518,0.178395074539411,0.1711713148405337,0.1634517487259426,0.1555185461229146,0.147481256422699,0.1394185652445676,0.1314913486426823,0.123820114675364
3.248634768331045,0.001915492214607897,0.003915608075291909,0.007534492635122128,0.01355374286659928,0.02272862727022804,0.03547947684271252,0.0517658550334797,0.07091267185643871,0.09181512646117455,0.1131820989343264,0.1337913093700889,0.1526256531131895,0.1690643452727647,0.1825589529540464,0.193051556462359,0.2005103696738506,0.2051073519637584,0.2070817459330409,0.206755667726311,0.2044517629200501,0.2005001211448761,0.1951938849165452,0.1888360380551908,0.1817175127467067,0.1740239694660552,0.1659768985319403,0.1577431780810304,0.1494828710769421,0.1412478790095609,0.1332198392107573,0.1254309645402579,0.1178794446146076
3.918177202009464,0.01157118519140613,0.0196554241194585,0.03105915795829564,0.0458331844297287,0.06354143341983526,0.0834032400375605,0.1042704369047499,0.1251765802048611,0.1450980923205996,0.1632383504633213,0.1790940158406741,0.1922226657626512,0.2025553606595031,0.2100341521631475,0.2147865803997686,0.2170120338664901,0.2169648564196801,0.2149515457050979,0.2112577375399055,0.20616262274271,0.1999636455474609,0.1929144866845011,0.1851882321091474,0.1770832716468437,0.1686854046876308,0.1602300160755696,0.1517545397094963,0.1433961903889122,0.1352355291036045,0.1273350126972,0.11968866576957,0.1124229210259535
4.725712085582868,0.05074196925833011,0.06778009899910328,0.08655678495339571,0.1063427018816968,0.1262227521879753,0.1456076687322924,0.1637745706584396,0.1801971394611386,0.1945308486961758,0.2064487767620864,0.2158365132103628,0.2226477965951777,0.2270075603062995,0.2289886352904774,0.2288776262113647,0.2268648298508549,0.2232048624280689,0.2181666130396496,0.2119987744404608,0.2049160067933764,0.1971910984165536,0.1889681601056795,0.1804370103638777,0.1717525359821751,0.163037296683192,0.1544067049248231,0.1458896745033298,0.1376458501455465,0.1296347512244907,0.1219387948107201,0.1145783013663585,0.1075790807525691
5.699679612338785,0.1248243329507191,0.1424787520472511,0.1597760771473894,0.1762700619028506,0.1915488913967333,0.2052025000826083,0.2169926861083597,0.2267058370988697,0.2342137476817216,0.2396480673692704,0.2428422557390061,0.2440481496157226,0.2432989716731352,0.2408656198263164,0.2369048999871128,0.2316475057145651,0.2253050463734079,0.2180919761916935,0.2101993805300869,0.2018193628776193,0.1931124646236195,0.1841942855031822,0.175235243780317,0.1662775795898442,0.1574855674712051,0.1488590033759404,0.1404804300065962,0.1323592295116383,0.1246013421890877,0.117147405363798,0.1100852633571657,0.103352044524898
6.874381488965292,0.2021306251955585,0.2155100595173154,0.2274910626390208,0.2379120754978044,0.246629589295899,0.253502176029057,0.2585687487857821,0.2617568293703965,0.2632209392994316,0.2628958291078508,0.2609904938909492,0.2576196595407192,0.2529335290575875,0.2470941307721498,0.2402805200206298,0.2326774961452608,0.2244543430522393,0.2157603983500701,0.2067422006135909,0.1975629847027081,0.1882978262670858,0.1790293762914925,0.1698869912430851,0.160928491342863,0.1521738798717787,0.143690927844614,0.1354976058060332,0.1276651065017626,0.1201446621974136,0.1129754637487513,0.1061367348717009,0.09969061533074895
8.291188991311971,,,,,,,,,,,,,0.2562256688855046,0.248583493414811,0.2399058123025298,0.2307519686859921,0.2213011949545603,0.2116723043676119,0.2020013032116185,0.1923583695398308,0.1828502487330529,0.1734997042713442,0.16437995572001,0.1555578623560919,0.1469939039210701,0.1387539345381445,0.1308550996639308,0.1232742987147287,0.1160446144709327,0.1091672754599372,0.1026188444452591,0.09641162465586199
10,,,,,,,,,,,,,,,,,,,,0.1855447387222235,0.1760617752410555,0.1668766643464185,0.1580125952585494,0.1494942496869366,0.1413063193847577,0.1334686052024124,0.1259592241031851,0.1187870837679802,0.1119244589104277,0.1054016253456384,0.09919627643214092,0.09328585781744765
