kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
135.8798808933831,0.2659097473451724,0.725496639885277,100.0,0.5097124946202036,0.6796616040236015,48.94511980878846,0.15083182967512127,1.9816455666618085e-10,19,0.002640887379369477,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,0.8750212311473027,100.0,0.5079135890347543,0.7398069006022556,87.38799969687666,0.16075746804145322,3.525599170745628e-10,20,0.0029382245661826083,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,1.0553627858009316,100.0,0.5068427240356326,0.7963427172023422,157.1161799832289,0.16675085444389465,6.325362685792147e-10,22,0.0018623458966628799,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,1.2728726686930016,100.0,0.506378926011492,0.8474257132131091,280.9108967643838,0.169165203874078,1.1298883063594758e-09,23,0.0023814711256215366,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,1.5352112586346733,100.0,0.506452703639919,0.8914698542035752,494.8338119671341,0.16856095928566048,1.9906255118193083e-09,25,0.0018751558457025261,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,1.851617735699141,100.0,0.5070997470320613,0.9273910753399788,849.3717092790679,0.16566265870570696,3.4212317194588667e-09,26,0.0026254111824561385,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,2.2332354715824,100.0,0.5084367174822522,0.9548204606796172,1412.4996650753765,0.16109392346966914,5.704486598789758e-09,28,0.0024557552127934964,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,2.6935044827979704,100.0,0.5107307922527435,0.9741997115851947,2262.8786904524536,0.1555185461229146,9.18004097538092e-09,30,0.002526223246175792,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,3.2486347683310455,100.0,0.5144145211963013,0.9866932082036207,3489.3787831059626,0.14948287107694214,1.4257803996920967e-08,32,0.0028358611775556293,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,3.918177202009464,100.0,0.5200855556584583,0.9939210781515603,5211.551654918519,0.14339619038891221,2.1529460318319278e-08,35,0.002632375082919316,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,4.7257120855828685,100.0,0.5285398998066154,0.9975977649650183,7616.719674826683,0.13764585014554653,3.1976951238203674e-08,38,0.0028675044343522537,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,5.699679612338785,100.0,0.5403626316338643,0.9992018432706923,11167.421410739673,0.13235922951163825,4.7932437806349894e-08,43,0.0025036946246252702,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,6.874381488965292,100.0,0.5557452552170224,0.9997844664325732,16929.975338479653,0.12766510650176258,7.473488894101525e-08,48,0.0028985721832401547,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,8.291188991311971,100.0,0.5725613525863535,0.9999545719882789,28206.90337802526,0.12327429871472867,1.2828289301862395e-07,57,0.0028250113957847974,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
135.8798808933831,0.2659097473451724,10.0,100.0,0.5846214798034516,0.9999928832206065,56804.04743256349,0.11878708376798017,2.637821196625558e-07,72,0.0029411936408375175,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.03,100.0,0.6089852803580416,0.0563474210221403,0.20591422481853647,0.007765371314803734,9.960575902808273e-13,9,0.001103458463838674,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.03618298899161007,100.0,0.605416608890962,0.06717516979274929,0.25334786380636987,0.008382517407952665,1.2183242323098165e-12,9,0.002104247037571751,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.04364028974556586,100.0,0.6012734001387365,0.07993056996813164,0.31322231787448856,0.009250742724095623,1.4959462691057811e-12,10,0.0005292347014834031,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.05263453744848279,100.0,0.5964963306595934,0.09490401090516198,0.38962047994488647,0.01048229945674022,1.8460389409140966e-12,10,0.0011012593896458343,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,0.06348249630256467,100.0,0.5910353002483301,0.11241321965672457,0.48840477482027883,0.012237100988256295,2.2928974218319134e-12,10,0.0021925557287890913,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
