d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method
0.25,0.08145479666433054,41.62340109547291,0.7412411692565981,1774445.9024766905,0.5486308072296311,0.6867149237612508,1.7484245191888803,1.7485993715173223,1.0751226364714572,1.8799587664380364,0.25,0.8251226364714572,7.087616015298993e+20,2.23164807160652e+33,-0.00010000064858143024,continuation
0.25,0.0900492287060531,46.01515586879314,0.6655074109160852,478862.18019150273,0.5475862389174032,0.6513078647841037,1.7352628351710768,1.7349498882437842,1.0417871111943837,1.8074484321405109,0.25,0.7917871111943838,7.785709833718925e+21,1.7853332398557193e+33,0.0001803618124211189,continuation
0.25,0.09955047366910884,50.87029204491462,0.5951601186510591,143670.23173814235,0.5469402982296352,0.6143026655136012,1.7190371283373844,1.7198221222125891,1.010150066824385,1.7372784316791026,0.25,0.760150066824385,6.856052929451288e+22,1.4151671742758843e+33,-0.0004565431915912158,continuation
0.25,0.11005421090383831,56.23770177186138,0.5308515894711084,47021.157164618664,0.5466691861923739,0.5764837649835061,1.7030960654662748,1.703630628513905,0.9806147964524624,1.6706054020103434,0.25,0.7306147964524624,5.0391741762953394e+23,1.1141559787033304e+33,-0.000313827964516189,continuation
0.25,0.12166621504910963,62.171435890095026,0.4719384815090405,16690.17217210831,0.5467629997297564,0.538012752056389,1.6861749486659943,1.6864866980004747,0.9530592430193146,1.607321735758476,0.25,0.7030592430193146,3.122814429495125e+24,8.69896955738802e+32,-0.0001848684321336275,continuation
0.25,0.134503421203122,68.73124823479534,0.41818709633483847,6367.302011368107,0.5471947906654626,0.4992877177086895,1.668672878591575,1.6686389566736366,0.9274938566079279,1.5476523812114604,0.25,0.6774938566079279,1.6609570763794313e+25,6.733941024311295e+32,2.0328887208636543e-05,continuation
0.25,0.14869510248216478,75.9831973683862,0.3690994748356008,2593.979210593782,0.5479464486582951,0.46051246390738876,1.6494164904839537,1.6502316536278558,0.9038023809580843,1.4914832976812529,0.25,0.6538023809580843,7.668932299295691e+25,5.1602160604314806e+32,-0.0004940909605409869,continuation
0.25,0.1643841718255734,84.00031180286801,0.3249186209192261,1117.8850819646352,0.5489414558441469,0.4224924276638635,1.6320230384851477,1.6317787766958052,0.8821479108105521,1.439470238767203,0.25,0.6321479108105521,3.139728557842304e+26,3.9236153450220955e+32,0.00014967930262329215,continuation
0.25,0.18172862115630756,92.86332541087317,0.28490058258391493,508.18541649998184,0.5501700157544402,0.3852122366475803,1.6136120227368285,1.6133031532253008,0.8622854793987831,1.3911278828944467,0.25,0.6122854793987831,1.1429166617835992e+27,2.9516099095608698e+32,0.00019143330123558652,continuation
0.25,0.2009031123897719,102.66149043117345,0.2488282215054191,243.01163102910772,0.5515909524557356,0.34904374059551724,1.5943598917303257,1.5950514886081943,0.844174719924566,1.3465021436610847,0.25,0.594174719924566,3.7188034846968606e+27,2.196126486775739e+32,-0.00043368308834153756,continuation
0.25,0.22210073631264324,113.4934762557607,0.21675259634631538,121.0777329144932,0.553114159962097,0.31463251559429384,1.577576660106955,1.577470011008451,0.8278606227196541,1.305925305635036,0.25,0.5778606227196541,1.1050067062046044e+28,1.619919654725825e+32,6.760540154356278e-05,continuation
0.25,0.245534957043949,125.46836304945795,0.18806870896783662,63.00090287790645,0.5547529632835271,0.2818902909967209,1.5598615320507239,1.5604934136372122,0.8131421367509367,1.2689029487507262,0.25,0.5631421367509367,2.9757975178910344e+28,1.1811278885446306e+32,-0.0004050062291784031,continuation
0.25,0.2714417616594907,138.70674020799976,0.16275230684008787,33.96719372968875,0.5564286904886874,0.25129959199182494,1.5441780265591856,1.5444636753951948,0.8000182284498827,1.2355990934948584,0.25,0.5500182284498827,7.395456682365939e+28,8.532657904317642e+31,-0.0001849672861975972,continuation
0.25,0.3000820366267416,153.34192071626498,0.1404740608716906,18.936891047333116,0.5581227504446877,0.22294342531074474,1.5300766555398517,1.529438615435603,0.7883739175661292,1.205769512927883,0.25,0.5383739175661292,1.7026294320495868e+29,6.105728620111006e+31,0.00041708575181888724,continuation
