theta,kTe_keV,eta_fixed,eta_reflect,tau_T_fixed,tau_T_reflect,tau_ratio_reflect_to_fixed,l_diss_fixed,l_diss_reflect,ldiss_ratio_reflect_to_fixed,effective_albedo_reflect,albedo_fixed,A_required_fixed,A_required_reflect,reflected_flux_model_observer,reflected_flux_model_hemisphere,downward_flux_model,observed_total_up_flux_reflect_model,energy_log_residual_fixed,energy_log_residual_reflect,root_method_fixed,root_method_reflect
0.09873863982355816,50.45544494983822,0.5435054390476992,0.5462557694499671,0.7252538933692239,0.6297271499782996,0.8682851008946022,66506.0620130372,141040.3096110286,2.12071359124196,0.0059385742974140876,0.2,2.2998849877016543,1.841580643916871,4.2553036363970524e-07,3.794928675736075e-07,6.390302597356661e-05,5.350621339128236e-05,0.00040072500013857947,-0.0002820573151566334,continuation,continuation
0.10694488000533935,54.64883368272841,0.5427522805642572,0.5457585149593207,0.6649920214713934,0.5785421465178775,0.8699986283110094,28180.377853299455,56245.89482894269,1.9959240831242875,0.0069048589384637345,0.2,2.3030764581964953,1.8450520512407917,4.953817457726688e-07,4.417254431818855e-07,6.397313067776664e-05,5.374100061428661e-05,0.00010833175816191372,-0.00015814039064124613,continuation,continuation
0.11583314677814321,59.19073800363119,0.5421997251199359,0.545463066892531,0.608536428853785,0.5304706600498869,0.8717155373081942,12552.035777264953,23670.45012094054,1.8857857435216976,0.008003544518175369,0.2,2.305423522159656,1.848096010978616,5.751143556156298e-07,5.127434152941227e-07,6.406454217000056e-05,5.3960397954703796e-05,0.00021075345009441293,0.00016280714068566012,continuation,continuation
0.1254601238680804,64.11012329658908,0.5418611051165778,0.5453745385019948,0.555411801011576,0.48511656994078345,0.8734358345595769,5895.29045262935,10535.752657809326,1.7871473411645546,0.0092231818476642,0.2,2.3068642281144554,1.850671363566636,6.634238161658103e-07,5.91378503387332e-07,6.411870796379239e-05,5.411292528860815e-05,-0.0003957996571221273,-0.0002222961401990647,continuation,continuation
0.1358872060269724,69.43836227978291,0.5416992906637227,0.5454654062992225,0.5060927418139924,0.44276637360703963,0.8748720086757783,2878.0986122114978,4900.480444908305,1.7026798262283418,0.010596442210603288,0.2,2.3075533262530663,1.8529313090914652,7.633513834951982e-07,6.803259026317572e-07,6.420323813505931e-05,5.4263706168570144e-05,6.9190253987407855e-06,-0.00029183127717164164,continuation,continuation
0.14718089056912526,75.20943508082301,0.5417212065416107,0.5457185114100055,0.4600936003581176,0.4033173760840086,0.8765985351026035,1465.8795493280659,2376.9409720786966,1.6215117900841483,0.01213270099008042,0.2,2.30745997185544,1.8549521230381103,8.758260676578523e-07,7.804147475090886e-07,6.432324905617869e-05,5.44214924162047e-05,0.00033538301158406424,2.1739877093991298e-05,continuation,continuation
0.15941320144900964,81.46014594044394,0.5419216714220157,0.5461351139674547,0.4171772826022177,0.36641868383082205,0.8783284687632561,774.3699115662193,1203.8342991040968,1.5545984950128737,0.01381264888876102,0.2,2.3066064081179283,1.85669458791488,9.98765304947876e-07,8.89782450984942e-07,6.441794460647834e-05,5.453321555275304e-05,0.00011218960937690681,-0.00020918855897158805,continuation,continuation
0.17266214858434498,88.23035792660029,0.5422632604989376,0.5466750356150445,0.37751906636510657,0.33224011526402997,0.8800618163817814,422.3851184822344,630.3675757168198,1.4924000589365773,0.015669910145957235,0.2,2.3051534025186813,1.858360632884473,1.1357408612333115e-06,1.0115909047525956e-06,6.455626709599106e-05,5.466839842843108e-05,0.00046502520889673063,5.072592870153276e-05,continuation,continuation
0.18701222535385967,95.5632471558223,0.5427505738596351,0.5473403350597227,0.34073402573125394,0.30045878164741807,0.8817985846954949,237.99045386397165,342.00191086157065,1.4370404581733722,0.01767559538480601,0.2,2.3030837003283797,1.8598915127279516,1.2837262848576422e-06,1.143137416565039e-06,6.467320572113136e-05,5.476955540641623e-05,0.00029152532771126513,-0.00017918422054897685,continuation,continuation
0.20255494744245184,103.50557814309289,0.543366926386052,0.5480887431230345,0.3067259309498771,0.2711824099978625,0.884119608531491,138.15606203410854,191.20986434574368,1.3840135679210153,0.019854648850401512,0.2,2.300471264075242,1.8614811088952345,1.4459156664451047e-06,1.2872588720950805e-06,6.483412936658654e-05,5.4903085254766374e-05,-0.000428277267701274,8.525699407004743e-05,continuation,continuation
