model,d_ratio,theta,kTe_keV,tau_T,l_diss_local,eta,p_sc,A_model,A_required,l_s_over_l_diss,l_c_over_l_diss,intrinsic_seed_over_l_diss,reprocessed_seed_over_l_diss,pair_production_rate_unit_ldiss2,pair_annihilation_rate,energy_log_residual,root_method,max_scatter,last_scatter_order,last_difmax,exact_angles,max_tau_grid,max_frequency_grid,seed_bins
compPSc,0.0,0.14869510248216478,75.9831973683862,0.450314465598826,1296.2544570048572,0.5440686865006208,0.5228693805412621,2.2977233822661245,2.297504030308816,0.6083031045309854,1.3975788343093036,0.0,0.6083031045309854,4.571221888328354e+26,7.680912680248856e+32,9.54694676807446e-05,continuation,2000,21,0.0022486641473029195,True,60,100,1200
compPSc,0.0,0.1643841718255734,84.00031180286801,0.39790472174230423,592.1509532732201,0.5441755455705599,0.48367824679250604,2.297166826656852,2.2970528723215478,0.5908576371513666,1.3572312325516696,0.0,0.5908576371513666,1.6781490901696822e+27,5.884308143411927e+32,4.960769958517015e-05,continuation,2000,20,0.0014229922848236144,True,60,100,1200
compPSc,0.0,0.18172862115630756,92.86332541087317,0.350448345396052,284.20755377856375,0.5445293979377319,0.44483700446572294,2.2966072737875876,2.2955601749585246,0.5748732383575912,1.3196561116231256,0.0,0.5748732383575912,5.529031696409334e+27,4.466016392551564e+32,0.00045603687535206096,continuation,2000,18,0.0022232309429471393,True,60,100,1200
compPSc,0.0,0.2009031123897719,102.66149043117345,0.3073108569624314,142.9115671969095,0.5451264242495141,0.4064340796085498,2.2920790747662045,2.2930460612341417,0.5602230031724874,1.2846171508374344,0.0,0.5602230031724874,1.640133210909349e+28,3.349761496521571e+32,-0.00042179284254690154,continuation,2000,17,0.0016415410148953105,True,60,100,1200
compPSc,0.0,0.22210073631264324,113.4934762557607,0.2687021280857426,74.64951530418848,0.5458741230308954,0.3692809756507116,2.289456116599129,2.289905213054498,0.5469549941148029,1.2524750923296795,0.0,0.5469549941148029,4.467381955876873e+28,2.489470992198955e+32,-0.00019613934104779017,continuation,2000,16,0.0012879926855873917,True,60,100,1200
compPSc,0.0,0.245534957043949,125.46836304945795,0.23409301163532567,40.507967576350026,0.5467651785237059,0.3335060334771225,2.285607726824095,2.2861733868551473,0.5349622305539736,1.223016414465162,0.0,0.5349622305539736,1.115218147788276e+29,1.8299563701511973e+32,-0.0002474571812925551,continuation,2000,15,0.001086533509948982,True,60,100,1200
compPSc,0.0,0.2714417616594907,138.70674020799976,0.20335043432445105,22.71527097157704,0.5477424545938618,0.2995714310651897,2.282981520017169,2.282094421413519,0.5242106333508536,1.1962981620156308,0.0,0.5242106333508536,2.5815728973966843e+29,1.3320491102648246e+32,0.0003886457207710734,continuation,2000,14,0.0010040138502857205,True,60,100,1200
compPSc,0.0,0.3000820366267416,153.34192071626498,0.1760053626255804,13.170504759407443,0.5488205249173351,0.2675160730245745,2.277817313389512,2.2776116111697506,0.5146106930261714,1.17208328966852,0.0,0.5146106930261714,5.52576211053159e+29,9.585108281532098e+31,9.031080203749365e-05,continuation,2000,13,0.0010289047374719984,True,60,100,1200
compPSc,0.0,0.3317441949813717,169.52128363548096,0.15189588508334764,7.861199810915726,0.5499606296524884,0.23765267555688008,2.2720631602227432,2.2728899717600797,0.5061179212136877,1.1503503476546488,0.0,0.5061179212136877,1.1046261624293612e+30,6.8264198439113365e+31,-0.00036383721567518034,continuation,2000,12,0.0011914679265458141,True,60,100,1200
compPSc,0.0,0.36674708070156736,187.40775823850095,0.1308038725104964,4.812456209963443,0.5511291056215288,0.21017940784600853,2.267535737225468,2.268071105753575,0.4986668525804218,1.1310118797347324,0.0,0.4986668525804218,2.080218907727839e+30,4.817731817237314e+31,-0.00023607360563995532,continuation,2000,11,0.0015866715334509488,True,60,100,1200
