f_corona,g_feedback,kTe_keV,tau_T
1.0,0.1,23.089588865061362,3.2408018529910136
1.0,0.1,23.479266425342974,3.200606893003661
1.0,0.1,23.875520482151853,3.1618135570522146
1.0,0.1,24.278462025473,3.1225539055042617
1.0,0.1,24.688203918443293,3.084419986018746
1.0,0.1,25.104860928964218,3.047357798571428
1.0,0.1,25.52854976184816,3.011326555230831
1.0,0.1,25.959389091507152,2.976290498997561
1.0,0.1,26.397499595193363,2.9417804778614967
1.0,0.1,26.843003986800575,2.9068254334487715
1.0,0.1,27.29602705123608,2.8725883993556125
1.0,0.1,27.756695679372694,2.839053443286509
1.0,0.1,28.225138903590686,2.80620624659806
1.0,0.1,28.701487933919406,2.7740340224230398
1.0,0.1,29.18587619478904,2.7417573866463583
1.0,0.1,29.678439362402475,2.70919384244504
1.0,0.1,30.179315402737984,2.6733050125610496
1.0,0.1,30.688644610193187,2.635004724621237
1.0,0.1,31.206569646881267,2.598059132306248
1.0,0.1,31.73323558259032,2.5623982750324172
1.0,0.1,32.268789935417146,2.5267182157773815
1.0,0.1,32.81338271308677,2.4915465514831787
1.0,0.1,33.36716645496928,2.4573227961116526
1.0,0.1,33.93029627480585,2.4240099308657816
1.0,0.1,34.50292990415581,2.391579014009094
1.0,0.1,35.08522773657688,2.3600037527509143
1.0,0.1,35.67735287255113,2.327777020734865
1.0,0.1,36.2794711651691,2.2961094149143997
1.0,0.1,36.891751266584954,2.2650846104601206
1.0,0.1,37.51436467525557,2.234687255280649
1.0,0.1,38.14748578397694,2.2000411603976975
1.0,0.1,38.79129192873127,2.166209368307347
1.0,0.1,39.44596343835841,2.132204628398043
1.0,0.1,40.11168368506564,2.0992673997890696
1.0,0.1,40.78863913578985,2.067337612220792
1.0,0.1,41.47701940442654,2.0363812214272605
1.0,0.1,42.17701730494035,2.0063591343574583
1.0,0.1,42.888828905371845,1.976672534099637
1.0,0.1,43.61265358275578,1.9468688607669413
1.0,0.1,44.348694078966226,1.9177662710364158
1.0,0.1,45.09715655750422,1.8893423137624539
1.0,0.1,45.858250661243666,1.8615823499955566
1.0,0.1,46.632189571151955,1.83199124122367
1.0,0.1,47.419190066001484,1.801199377316551
1.0,0.1,48.21947258308911,1.7709098703740636
1.0,0.1,49.033261279979975,1.7416004003182657
1.0,0.1,49.8607840972938,1.713232420057627
1.0,0.1,50.70227282255049,1.6857591393907936
1.0,0.1,51.55796315509344,1.6591514821160347
1.0,0.1,52.42809477210838,1.6322829878047074
1.0,0.1,53.312911395756565,1.6059053031949468
1.0,0.1,54.212660861440824,1.5801903016290904
1.0,0.1,55.12759518722379,1.5551217747496036
1.0,0.1,56.05797064441765,1.5300876335321845
1.0,0.1,57.00404782936526,1.5033387309069006
1.0,0.1,57.96609173643265,1.4764215661381852
1.0,0.1,58.944371832233415,1.4503922065501123
1.0,0.1,59.93916213110589,1.4252033775892914
1.0,0.1,60.950741271863855,1.400824815457674
1.0,0.1,61.97939259584283,1.377216863750034
1.0,0.1,63.025404226263404,1.354049058244731
1.0,0.1,64.08906914893406,1.3307845313858901
1.0,0.1,65.17068529431577,1.3081104653081566
1.0,0.1,66.27055562097186,1.2860078006470856
1.0,0.1,67.38898820042604,1.2635075966173508
1.0,0.1,68.52629630345271,1.2403480957158806
1.0,0.1,69.68279848782338,1.2175573023225612
1.0,0.1,70.85881868753421,1.1950541480407373
1.0,0.1,72.05468630353916,1.1732552750787064
1.0,0.1,73.27073629601465,1.152129653627919
1.0,0.1,74.5073092781812,1.1316535357044442
1.0,0.1,75.76475161170852,1.111799250198016
1.0,0.1,77.04341550373073,1.0919123001395794
1.0,0.1,78.34365910549901,1.0723227058884237
1.0,0.1,79.66584661269887,1.052999589063337
1.0,0.1,81.01034836746076,1.0325600732496565
1.0,0.1,82.37754096209213,1.0128624964846016
1.0,0.1,83.76780734456032,0.993869314164762
1.0,0.1,85.18153692575534,0.9747883997640118
1.0,0.1,86.61912568856323,0.9562576783711014
1.0,0.1,88.08097629878006,0.9382766905576608
1.0,0.1,89.56749821789782,0.9208248227944213
1.0,0.1,91.07910781779381,0.9038841893816868
1.0,0.1,92.61622849735552,0.8873155491714599
1.0,0.1,94.17929080107395,0.8702708609432411
1.0,0.1,95.76873253963811,0.852608166639781
1.0,0.1,97.38499891256511,0.8355487516382507
1.0,0.1,99.02854263289956,0.8190640068387587
1.0,0.1,100.69982405401764,0.8031285810979341
1.0,0.1,102.39931129857108,0.7874842595087043
1.0,0.1,104.1274803896079,0.7719809890682949
1.0,0.1,105.88481538390441,0.7569107249867355
1.0,0.1,107.67180850755013,0.74225842601571
1.0,0.1,109.48896029381763,0.7280101578788323
1.0,0.1,111.3367797233627,0.7131929070327256
1.0,0.1,113.215784366787,0.6983821569716504
1.0,0.1,115.12650052961035,0.6838800327520306
1.0,0.1,117.06946339968653,0.6698326317114162
1.0,0.1,119.04521719710894,0.6562216103944883
1.0,0.1,121.05431532664555,0.6430298839157428
1.0,0.1,123.09732053274638,0.6302416018255129
1.0,0.1,125.1748050571672,0.6174990141994225
1.0,0.1,127.28735079925328,0.6050426173891114
1.0,0.1,129.43554947892824,0.592229159277883
1.0,0.1,131.62000280243362,0.5795674213216274
1.0,0.1,133.84132263086607,0.5673324658663094
1.0,0.1,136.10013115155726,0.5554738333593672
1.0,0.1,138.3970610523491,0.5436866862031736
1.0,0.1,140.7327556988063,0.5322396990472223
1.0,0.1,143.10786931442402,0.5211209116562693
1.0,0.1,145.5230671638723,0.5103189895661274
1.0,0.1,147.97902573933771,0.49982370583126673
1.0,0.1,150.47643295000518,0.48888380389017083
1.0,0.1,153.01598831474215,0.47805195722563754
1.0,0.1,155.5984031580309,0.4675576870824773
1.0,0.1,158.22440080920973,0.45738772814373474
1.0,0.1,160.89471680507614,0.44752962963510495
1.0,0.1,163.61009909590916,0.4379716888069202
1.0,0.1,166.3713082549687,0.4285888950738517
1.0,0.1,169.17911769153073,0.41936839110777313
1.0,0.1,172.03431386751757,0.41017731864259416
1.0,0.1,174.9376965177843,0.40088159283754093
1.0,0.1,177.8900788741238,0.391888840422062
1.0,0.1,180.89228789304923,0.38318672861444164
1.0,0.1,183.94516448742593,0.3746455429089204
1.0,0.1,187.04956376200633,0.36631634779112204
1.0,0.1,190.20635525294608,0.35822240038766867
1.0,0.1,193.41642317135654,0.3503558591115588
1.0,0.1,196.6806666509734,0.34270110226345507
1.0,0.1,200.0,0.334814119668913
1.0,0.3,10.0,4.066829818814242
1.0,0.3,10.168767647860228,4.043821483757895
1.0,0.3,10.340383547616884,4.02153233632474
1.0,0.3,10.514895768547275,3.9999151394162893
1.0,0.3,10.692353191182594,3.978964862353511
1.0,0.3,10.872805520999258,3.9586453466668305
1.0,0.3,11.056303302341332,3.938304577844584
1.0,0.3,11.242897932577874,3.9142065898945373
1.0,0.3,11.432641676499253,3.868778045804787
1.0,0.3,11.625587680956412,3.8261626533817124
1.0,0.3,11.821789989747199,3.786125093001035
1.0,0.3,12.021303558753923,3.7484388760503013
1.0,0.3,12.22418427133639,3.71078367481494
1.0,0.3,12.43048895398473,3.6727148653347705
1.0,0.3,12.640275392236385,3.636701725610921
1.0,0.3,12.853602346861711,3.602585473755964
1.0,0.3,13.070529570322767,3.570225428373685
1.0,0.3,13.29111782350986,3.539520422834393
1.0,0.3,13.515428892760552,3.5076703877456694
1.0,0.3,13.74352560716589,3.476031467539921
1.0,0.3,13.975471856168708,3.445794062429913
1.0,0.3,14.21133260745895,3.4168800121767924
1.0,0.3,14.451173925170965,3.389226008071561
1.0,0.3,14.695062988387981,3.3627456201115717
1.0,0.3,14.943068109958794,3.3340853917153503
1.0,0.3,15.195258755632087,3.3061249844599367
1.0,0.3,15.451705563513645,3.2791706281991178
1.0,0.3,15.712480363851945,3.2531628065820186
1.0,0.3,15.977656199157677,3.213445578776687
1.0,0.3,16.247307344662794,3.1724020306052076
1.0,0.3,16.521509329124886,3.1292250774998633
1.0,0.3,16.80033895598261,3.088613963464886
1.0,0.3,17.083874324868184,3.0503885375824926
1.0,0.3,17.37219485348296,3.01434003194739
1.0,0.3,17.66538129984215,2.980292949687778
1.0,0.3,17.96351578489499,2.946540220372393
1.0,0.3,18.26668181552667,2.9117553695691787
1.0,0.3,18.574964307948434,2.878682911451365
1.0,0.3,18.88844961148245,2.8472084138428766
1.0,0.3,19.207225532748076,2.8172293062089344
1.0,0.3,19.531381360256354,2.788653530645642
1.0,0.3,19.861007889419515,2.7591476582733763
1.0,0.3,20.19619744798259,2.7292674745814587
1.0,0.3,20.537043921884266,2.7005761413310174
1.0,0.3,20.883642781554126,2.662564005044912
1.0,0.3,21.236091108653728,2.623455013605155
1.0,0.3,21.59448762326903,2.586831480998464
1.0,0.3,21.958932711561623,2.5485415255224466
1.0,0.3,22.32952845388675,2.511603455969774
1.0,0.3,22.7063786533858,2.476764250198134
1.0,0.3,23.089588865061362,2.4438595211292826
1.0,0.3,23.479266425342974,2.412745709867333
1.0,0.3,23.875520482151853,2.383167029124989
1.0,0.3,24.278462025473,2.3513099838784126
1.0,0.3,24.688203918443293,2.3209630441644227
1.0,0.3,25.104860928964218,2.292031361325137
1.0,0.3,25.52854976184816,2.2644294302584007
1.0,0.3,25.959389091507152,2.238075574013463
1.0,0.3,26.397499595193363,2.20350166597624
1.0,0.3,26.843003986800575,2.165758518316042
1.0,0.3,27.29602705123608,2.1303919448496917
1.0,0.3,27.756695679372694,2.09714985007675
1.0,0.3,28.225138903590686,2.065849173266638
1.0,0.3,28.701487933919406,2.036347894519366
1.0,0.3,29.18587619478904,2.006681686392119
1.0,0.3,29.678439362402475,1.9766816654216757
1.0,0.3,30.179315402737984,1.9482090281548388
1.0,0.3,30.688644610193187,1.9211590113949535
1.0,0.3,31.206569646881267,1.8954317913586096
1.0,0.3,31.73323558259032,1.8709451717414738
1.0,0.3,32.268789935417146,1.8431816229621927
1.0,0.3,32.81338271308677,1.8095862276026855
1.0,0.3,33.36716645496928,1.778085575185271
1.0,0.3,33.93029627480585,1.748492694580923
1.0,0.3,34.50292990415581,1.720646992101188
1.0,0.3,35.08522773657688,1.6944053006474364
1.0,0.3,35.67735287255113,1.6665229346759518
1.0,0.3,36.2794711651691,1.6399090013111175
1.0,0.3,36.891751266584954,1.6146598170433386
1.0,0.3,37.51436467525557,1.5906916686158306
1.0,0.3,38.14748578397694,1.5679133120896187
1.0,0.3,38.79129192873127,1.5457849715966836
1.0,0.3,39.44596343835841,1.5186043386925576
1.0,0.3,40.11168368506564,1.490151721057613
1.0,0.3,40.78863913578985,1.4634193338964292
1.0,0.3,41.47701940442654,1.4382577297747252
1.0,0.3,42.17701730494035,1.4145422774174938
1.0,0.3,42.888828905371845,1.3910507117161632
1.0,0.3,43.61265358275578,1.367101535141255
1.0,0.3,44.348694078966226,1.3443819200874738
1.0,0.3,45.09715655750422,1.3228049349505124
1.0,0.3,45.858250661243666,1.3022931062145082
1.0,0.3,46.632189571151955,1.282781929994833
1.0,0.3,47.419190066001484,1.2601663970391446
1.0,0.3,48.21947258308911,1.2353517183594116
1.0,0.3,49.033261279979975,1.2119908997521076
1.0,0.3,49.8607840972938,1.1899797071758276
1.0,0.3,50.70227282255049,1.169195248559176
1.0,0.3,51.55796315509344,1.1495479588235407
1.0,0.3,52.42809477210838,1.128989388970767
1.0,0.3,53.312911395756565,1.1090956793110167
1.0,0.3,54.212660861440824,1.0901724872721836
1.0,0.3,55.12759518722379,1.0721646516818213
1.0,0.3,56.05797064441765,1.0549236219585063
1.0,0.3,57.00404782936526,1.034822672046661
1.0,0.3,57.96609173643265,1.0137189327783416
1.0,0.3,58.944371832233415,0.9938041084814833
1.0,0.3,59.93916213110589,0.9749740268757482
1.0,0.3,60.950741271863855,0.9571562596258987
1.0,0.3,61.97939259584283,0.940270928395268
1.0,0.3,63.025404226263404,0.9237129551819455
1.0,0.3,64.08906914893406,0.9066633609866042
1.0,0.3,65.17068529431577,0.8904061563106698
1.0,0.3,66.27055562097186,0.8748689958807969
1.0,0.3,67.38898820042604,0.8571738465515096
1.0,0.3,68.52629630345271,0.8404768641525219
1.0,0.3,69.68279848782338,0.8237737132397909
1.0,0.3,70.85881868753421,0.8071074428421845
1.0,0.3,72.05468630353916,0.7912978397877257
1.0,0.3,73.27073629601465,0.776283784726748
1.0,0.3,74.5073092781812,0.762011015871757
1.0,0.3,75.76475161170852,0.7484355656354312
1.0,0.3,77.04341550373073,0.7344317301132407
1.0,0.3,78.34365910549901,0.7198160638327512
1.0,0.3,79.66584661269887,0.704432020642691
1.0,0.3,81.01034836746076,0.6898808361352714
1.0,0.3,82.37754096209213,0.6760999451057453
1.0,0.3,83.76780734456032,0.6630339021874078
1.0,0.3,85.18153692575534,0.6493438343529727
1.0,0.3,86.61912568856323,0.6362627792513006
1.0,0.3,88.08097629878006,0.6237932622130543
1.0,0.3,89.56749821789782,0.6118975331025291
1.0,0.3,91.07910781779381,0.6003792956996109
1.0,0.3,92.61622849735552,0.5875845569308078
1.0,0.3,94.17929080107395,0.5744710995053481
1.0,0.3,95.76873253963811,0.5620231592823834
1.0,0.3,97.38499891256511,0.5501945342781271
1.0,0.3,99.02854263289956,0.538944052357819
1.0,0.3,100.69982405401764,0.5282347237269746
